,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,country,salary
33,13,0,1983,4,9,0,0,3,1,0,0,39,38,0
34,5,6,18593,4,9,0,7,0,1,0,0,14,38,0
35,31,3,15792,3,6,2,6,4,1,0,0,39,32,0
36,4,3,12418,4,9,2,6,3,1,0,0,39,38,0
37,2,3,21430,1,8,0,0,5,0,0,0,24,38,0
38,14,3,2977,4,9,0,11,0,1,0,0,37,38,1
39,31,5,16880,4,11,0,9,0,1,0,0,39,38,0
40,14,3,21343,3,4,0,6,0,1,0,0,42,38,0
41,36,5,3176,4,12,0,9,0,1,0,0,39,38,0
42,7,3,9719,4,12,0,12,0,1,0,0,49,38,0
43,32,3,3488,1,8,1,0,4,0,0,0,39,38,0
44,8,3,17901,1,8,2,5,1,1,0,0,34,38,0
45,40,0,19337,4,12,0,9,0,1,0,0,39,38,1
46,36,3,7328,1,8,0,6,0,1,0,0,37,38,0
47,27,3,6213,2,13,1,3,4,0,0,0,39,38,0
48,24,6,3994,4,10,0,2,0,1,0,0,39,38,0
49,12,3,17154,4,10,2,9,1,1,0,0,42,38,0
50,8,3,549,4,9,0,3,5,0,0,0,39,38,0
51,1,3,14850,1,8,2,7,3,0,0,0,29,38,0
52,30,3,1608,2,14,0,9,5,0,0,47,59,15,1
53,33,0,16257,4,12,1,3,1,1,0,0,54,38,1
54,30,4,4680,1,8,1,3,1,1,0,0,59,38,0
55,26,3,15537,4,9,0,12,0,1,0,0,39,38,1
56,29,3,14161,3,2,0,6,0,1,0,0,39,25,0
57,18,3,1840,4,10,0,7,0,1,0,0,39,32,0
58,24,3,7554,1,8,0,0,0,1,0,0,47,38,0
59,13,3,11422,1,8,0,6,0,1,77,0,39,38,0
60,13,3,1970,4,12,0,11,0,1,34,0,39,38,0
61,15,8,18040,3,3,0,9,1,1,0,0,39,38,0
62,31,3,7725,1,8,0,13,0,1,0,0,39,38,0
63,25,3,5267,0,15,0,9,0,1,0,0,44,38,1
64,12,3,4327,4,9,1,12,1,1,0,0,57,38,0
65,19,3,8168,1,8,0,2,0,1,0,0,39,38,0
66,11,3,10859,4,9,1,0,1,0,0,0,39,38,0
67,36,3,9412,1,8,0,0,5,0,0,0,39,38,1
68,32,4,11825,4,9,0,3,0,1,0,0,49,38,1
69,8,8,12805,4,9,2,9,3,1,0,0,39,38,0
70,2,3,3983,4,9,2,9,3,1,0,0,31,38,0
71,14,3,18555,4,12,1,11,3,0,0,0,39,38,0
72,12,5,8707,4,12,0,11,0,1,0,0,68,38,1
73,6,3,13787,4,9,2,6,1,1,0,0,39,38,0
74,62,3,5947,4,9,0,9,2,1,0,0,19,38,0
75,10,3,13966,1,8,2,7,3,1,0,0,39,25,0
76,23,3,544,4,11,0,0,0,1,0,0,39,38,0
77,50,8,13865,3,5,0,9,0,1,0,0,1,38,0
78,1,3,18550,3,6,2,7,3,0,0,0,21,38,0
79,14,1,6036,3,3,0,4,0,1,0,0,39,38,0
80,1,3,21076,1,8,2,11,1,1,0,0,29,38,0
81,35,3,17359,4,12,0,7,0,1,0,0,39,4,0
82,29,3,1598,1,8,0,7,5,0,0,0,39,38,0
83,42,3,8511,1,8,0,11,0,1,0,0,47,38,0
84,27,3,19520,1,8,1,2,1,0,106,0,39,38,1
85,36,3,19601,1,8,1,11,3,0,0,0,34,38,0
86,32,1,17019,1,8,0,10,0,1,0,0,39,38,1
87,16,3,12945,2,13,0,9,0,1,0,0,49,38,0
88,13,3,1739,3,4,2,11,1,1,0,0,39,38,0
89,26,0,20763,0,15,2,9,1,0,0,0,49,38,1
90,40,3,16186,4,10,0,9,0,1,0,0,39,38,0
91,20,3,17778,4,9,1,2,4,0,0,0,39,38,0
92,11,3,13849,4,9,1,6,4,0,0,0,24,38,0
93,13,3,5384,1,8,0,11,5,0,0,21,34,38,0
94,17,1,14804,4,12,0,10,0,1,0,0,39,38,1
95,12,1,5178,4,9,2,5,1,1,0,0,49,38,0
96,31,5,11784,0,15,0,9,0,1,0,47,59,38,1
97,20,3,13000,4,9,0,11,0,1,0,0,47,38,1
98,31,3,9538,4,11,1,3,4,0,0,0,39,8,0
99,15,0,16161,1,8,2,7,3,1,0,0,39,38,0
100,59,3,5912,2,13,0,3,0,1,0,0,39,38,1
101,27,3,12548,4,12,0,3,0,1,108,0,59,38,1
102,30,5,7684,2,13,2,9,1,0,0,0,49,38,0
103,3,3,11443,4,9,2,12,3,0,0,0,39,38,0
104,12,3,4144,1,8,2,2,1,1,0,0,39,38,0
105,15,4,18787,1,8,0,2,0,1,94,0,39,38,1
106,0,8,18393,3,5,2,9,3,0,116,0,31,38,0
107,13,3,12178,3,6,2,5,3,1,0,0,39,38,0
108,14,1,11560,1,8,2,0,1,0,0,0,39,38,0
109,25,3,5945,1,8,0,5,0,1,0,0,39,38,0
110,7,3,20966,4,12,2,11,2,1,0,0,39,38,0
111,21,3,2177,2,14,0,9,0,1,0,0,39,38,1
112,39,5,19266,1,8,0,7,0,1,0,46,49,1,1
113,11,3,20284,4,9,0,11,5,0,66,0,24,38,0
114,19,3,4098,1,8,2,6,3,0,0,0,39,38,0
115,36,3,3548,3,4,0,5,0,1,0,0,49,38,0
116,39,4,18330,4,9,0,11,0,1,0,0,49,38,0
117,32,1,12438,4,10,0,2,0,1,0,0,39,38,1
118,38,3,16056,4,9,0,11,0,1,0,0,55,38,0
119,5,3,4084,1,8,2,2,1,1,0,0,40,38,0
120,4,3,12727,4,9,2,7,3,0,0,0,39,38,0
121,23,3,5493,4,12,0,3,0,1,0,0,59,38,0
122,13,3,2654,4,12,2,3,3,1,0,0,39,10,0
123,12,6,17007,4,12,0,9,0,1,0,0,49,38,1
124,2,3,18279,4,9,2,7,3,1,0,0,34,38,0
125,30,3,17821,4,12,0,3,5,0,0,0,39,38,1
126,3,3,4842,4,9,2,0,3,0,0,33,27,38,0
127,14,3,5114,4,11,0,0,0,1,0,0,39,38,1
128,18,8,6282,1,8,0,9,0,1,0,0,39,38,0
129,22,3,20039,4,9,1,2,1,1,0,0,39,38,0
130,11,3,2346,4,11,2,11,1,0,0,0,59,38,0
131,7,3,1214,1,8,2,7,1,0,0,40,39,38,0
132,21,5,5660,1,8,0,2,0,1,68,0,34,38,0
133,20,3,16364,4,12,0,11,0,1,0,0,49,38,0
134,29,3,7460,4,11,1,12,1,0,0,0,35,38,0
135,21,0,6038,2,13,0,9,0,1,0,0,39,19,1
136,26,5,1867,1,8,0,2,0,1,0,0,59,38,0
137,10,3,8790,4,10,0,0,5,0,0,0,34,38,0
138,3,3,723,4,9,2,11,3,1,0,0,19,38,0
139,32,3,2858,4,9,0,2,0,1,0,0,39,38,1
140,44,4,2223,1,8,0,2,0,1,0,0,39,38,0
141,10,3,15213,4,9,2,11,3,0,0,0,39,38,0
142,2,3,18763,4,9,2,7,3,1,0,0,29,25,0
143,28,3,12356,4,10,2,9,1,0,0,20,39,38,1
144,53,3,4306,4,9,2,12,2,1,0,0,39,38,0
145,14,3,11153,1,8,2,13,4,0,0,0,29,38,0
146,5,3,9981,4,9,0,7,0,1,0,0,23,38,0
147,19,3,4545,1,8,1,7,4,0,0,0,23,38,0
148,47,3,10627,3,6,0,2,0,1,0,62,39,38,0
149,26,8,9898,4,9,1,9,1,0,0,0,39,38,0
150,30,1,11170,4,9,1,0,4,0,0,0,37,25,0
151,17,3,12529,1,8,2,0,1,0,0,0,39,38,0
152,16,3,8773,4,12,2,3,2,0,0,0,39,29,0
153,4,3,18109,1,8,2,2,3,1,0,0,34,38,0
154,35,8,16316,1,8,1,9,1,1,0,0,44,38,1
155,31,3,11373,1,8,0,2,0,1,0,0,45,38,0
156,6,3,14004,4,12,2,5,1,1,0,0,39,38,0
157,54,5,21290,4,9,1,11,4,1,0,41,1,38,0
158,12,3,11815,1,8,1,2,1,1,0,0,59,38,0
159,25,3,14949,4,12,1,7,2,1,0,0,49,38,0
160,51,8,985,3,1,1,9,1,0,0,0,19,38,0
161,8,3,16310,1,8,2,7,4,0,0,0,39,38,0
162,27,4,2712,2,13,1,3,4,0,0,0,39,38,0
163,11,3,3171,1,8,2,3,1,0,0,0,39,8,0
164,28,5,12840,2,13,0,11,0,1,0,0,39,38,1
165,19,3,13412,4,9,1,7,4,0,0,0,39,25,0
166,22,0,15376,4,11,2,3,1,1,0,0,41,38,0
167,29,6,4082,2,13,1,10,4,1,0,0,39,38,0
168,1,3,160,3,6,2,5,3,1,0,0,15,38,0
169,49,1,1764,4,10,1,9,1,0,0,0,19,38,0
170,10,3,5968,1,8,2,7,1,1,0,51,39,38,0
171,11,6,9975,1,8,0,10,0,1,0,0,39,38,0
172,34,3,3577,4,9,0,11,0,1,0,50,39,38,1
173,10,3,20937,4,12,2,2,1,1,0,0,49,38,0
174,11,6,7723,4,12,0,9,0,1,0,0,39,38,1
175,10,3,16350,1,8,0,11,4,0,0,0,24,38,0
176,4,3,18641,1,8,2,2,3,1,0,0,39,38,0
177,17,3,21259,1,8,2,5,1,1,0,0,39,38,0
178,1,3,10954,1,8,2,7,3,1,0,0,11,38,0
179,16,3,924,4,12,0,9,0,1,0,0,64,38,0
180,27,1,10642,4,9,0,3,0,1,0,0,37,38,1
181,26,3,5083,4,9,1,0,1,0,0,0,39,38,0
182,13,3,21546,4,9,2,2,1,1,0,0,44,38,0
183,23,3,17766,3,3,0,6,0,1,0,0,39,25,1
184,20,0,322,4,9,0,0,0,1,0,0,41,38,1
185,17,3,18364,1,8,0,0,0,1,0,0,39,38,0
186,24,5,7228,4,12,1,3,1,0,0,0,39,38,0
187,36,8,6664,4,12,1,9,1,0,0,0,49,38,0
188,14,3,3867,2,13,0,9,5,0,0,0,49,38,0
189,41,6,4662,0,15,0,9,0,1,0,0,0,38,1
190,21,3,8144,4,9,1,6,1,0,0,0,27,38,0
191,7,3,8470,4,9,0,6,0,1,0,0,39,38,0
192,24,1,21394,4,12,0,2,0,1,0,0,39,38,0
193,30,3,5657,4,9,0,12,0,1,0,0,44,38,0
194,24,0,6385,4,12,0,12,0,1,0,0,23,38,0
195,6,3,12442,3,2,0,13,2,1,0,0,39,25,0
196,19,3,3825,4,9,1,2,1,1,0,0,39,38,0
197,23,0,1861,2,13,2,3,1,0,105,0,54,38,1
198,18,3,6926,2,13,0,9,2,1,91,0,39,38,1
199,7,5,599,1,8,2,11,1,1,0,0,39,38,0
200,9,3,20567,2,13,2,9,1,0,0,45,39,38,0
201,2,8,9505,1,8,2,9,3,1,0,0,39,21,0
202,34,3,16629,4,12,0,3,0,1,0,0,49,38,1
203,25,1,16395,4,9,2,9,1,0,0,13,39,38,0
204,20,6,1432,1,8,1,0,4,0,0,0,34,38,0
205,1,3,7000,3,6,2,11,3,0,0,0,39,38,0
206,19,3,6247,4,12,0,7,0,1,91,0,35,38,1
207,18,3,863,1,8,1,2,1,1,0,0,59,38,0
208,41,4,13689,1,8,0,11,5,0,108,0,34,38,1
209,0,3,2180,3,6,2,11,3,0,0,0,11,38,0
210,27,1,8595,1,8,0,13,0,1,0,0,39,38,0
211,20,3,13504,1,8,0,2,0,1,0,0,39,38,1
212,18,3,8038,4,9,2,11,1,0,0,0,39,38,0
213,43,3,3062,1,8,0,2,0,1,0,0,39,38,0
214,37,4,6003,3,3,0,6,0,1,0,0,39,38,1
215,20,3,21548,4,12,2,3,1,1,0,0,59,38,1
216,33,3,18649,4,11,1,11,1,0,0,0,39,38,0
217,21,3,10788,4,12,0,11,0,1,0,0,49,30,0
218,28,3,4651,4,12,0,9,0,1,0,0,54,38,0
219,8,3,16407,3,5,2,2,1,1,0,0,39,38,0
220,14,3,12494,4,9,0,5,0,1,0,0,39,38,0
221,47,8,11367,3,1,1,9,1,1,0,0,39,38,0
222,72,3,1603,1,8,2,7,1,1,0,65,39,38,0
223,37,3,10147,1,8,0,0,0,1,0,0,19,38,0
224,36,1,7009,3,0,2,6,1,0,0,0,34,38,0
225,1,3,15842,1,8,2,11,3,0,0,0,39,38,0
226,43,8,105,3,5,1,9,1,0,0,0,9,38,0
227,49,5,9189,1,8,0,4,0,1,11,0,49,38,0
228,58,3,18674,4,10,1,0,1,0,0,0,19,3,0
229,48,3,10167,1,8,1,0,1,0,0,0,39,38,0
230,18,3,21416,3,6,1,13,1,1,60,0,39,38,0
231,24,3,6361,1,8,1,11,4,0,0,0,37,38,0
232,8,3,8486,4,9,2,0,1,1,0,0,41,38,0
233,16,3,4786,4,9,1,2,2,0,0,0,39,38,0
234,11,3,2632,2,14,2,9,1,1,0,0,54,38,1
235,42,6,17039,1,8,0,7,0,1,0,0,39,38,0
236,23,6,9493,4,9,2,0,1,0,0,0,37,38,0
237,24,3,10516,4,12,0,3,0,1,0,0,49,19,1
238,21,1,5131,2,13,0,3,0,1,0,0,68,38,1
239,6,3,5166,1,8,2,13,3,1,0,0,39,38,0
240,23,3,19647,4,12,0,9,0,1,0,0,39,38,1
241,24,5,12302,1,8,0,7,5,0,0,0,19,38,0
242,7,6,17258,4,11,0,10,0,1,0,0,49,38,0
243,3,8,5520,4,9,2,9,3,1,0,0,19,38,0
244,21,3,10450,4,9,1,2,1,1,0,38,39,38,0
245,39,3,13082,1,8,0,0,0,1,0,0,34,38,0
246,41,3,15450,1,8,0,0,0,1,0,0,44,38,1
247,15,3,10952,1,8,2,7,1,0,0,0,33,38,0
248,23,3,13450,4,11,0,12,0,1,0,50,59,38,1
249,28,3,7991,1,8,0,0,0,1,0,0,39,38,0
250,24,3,4925,2,14,0,9,5,0,0,0,39,38,1
251,25,3,20479,4,12,0,0,5,0,0,0,39,38,0
252,42,1,9561,3,5,1,7,4,0,0,0,29,38,0
253,2,1,232,4,9,2,0,3,1,0,0,39,38,0
254,41,3,16616,4,9,2,13,1,1,0,0,19,38,0
255,25,5,18328,1,8,0,4,0,1,0,0,39,0,1
256,3,3,5390,1,8,2,7,3,0,0,0,39,38,0
257,15,3,9675,1,8,1,7,1,0,0,0,29,38,0
258,28,3,11368,4,10,1,3,1,0,0,0,44,38,0
259,33,3,13170,3,3,1,2,1,1,0,0,39,38,0
260,19,3,7758,4,12,1,9,3,0,0,0,39,38,0
261,28,3,3715,1,8,0,11,0,1,0,0,59,38,0
262,0,3,15980,3,6,2,7,3,1,0,0,11,38,0
263,42,3,7449,4,9,0,11,0,1,66,0,39,38,0
264,9,3,20293,3,6,0,2,0,1,0,0,39,38,0
265,20,4,16527,4,9,0,3,0,1,0,0,72,36,1
266,2,8,14325,4,9,2,9,3,1,0,0,23,1,0
267,47,3,39,1,8,0,3,0,1,0,0,39,38,1
268,16,3,11122,4,12,2,9,1,0,0,0,44,38,0
269,16,3,14537,1,8,0,2,5,0,0,0,39,38,1
270,44,3,2355,1,8,0,3,0,1,0,0,39,38,1
271,0,3,11780,3,4,2,7,3,1,6,0,23,38,0
272,33,5,432,2,13,0,4,0,1,34,0,92,38,0
273,10,1,13570,2,13,2,9,3,1,0,0,34,38,0
274,13,3,2371,1,8,1,9,3,0,0,0,39,38,0
275,26,3,21233,1,8,0,5,0,1,0,0,39,38,0
276,27,3,9524,4,9,0,2,0,1,91,0,39,38,1
277,18,3,11655,4,9,2,3,1,0,0,0,39,38,0
278,8,3,12068,4,9,2,12,3,0,0,0,39,38,0
279,7,3,17481,4,9,0,6,5,0,91,0,47,38,1
280,5,3,772,4,12,2,9,1,0,0,0,14,10,0
281,25,1,3682,4,9,0,2,0,1,79,0,39,38,1
282,17,3,9987,4,11,1,11,4,0,0,0,44,38,0
283,43,3,9813,4,12,1,9,1,0,0,0,41,38,0
284,4,3,13289,1,8,2,5,3,1,0,0,39,38,0
285,40,0,20910,2,13,0,11,0,1,108,0,39,38,1
286,24,3,14433,2,14,0,9,0,1,0,0,59,38,1
287,33,3,10139,4,9,1,7,1,1,0,0,44,38,0
288,8,3,20152,4,12,2,3,1,0,0,0,39,38,0
289,33,3,12078,3,3,0,2,0,1,0,0,39,6,0
290,19,3,12764,4,12,0,9,0,1,0,0,44,38,0
291,14,3,6158,1,8,1,9,1,0,0,0,39,38,0
292,12,1,14426,4,12,2,10,1,1,0,0,55,38,0
293,4,3,15172,4,9,2,11,3,1,0,0,44,38,0
294,10,3,16105,4,12,2,12,4,0,0,0,39,38,0
295,48,3,4793,1,8,0,13,0,1,0,0,15,38,0
296,20,4,1889,4,12,1,11,1,0,0,0,59,38,0
297,22,8,8315,2,13,0,9,5,0,58,0,39,38,0
298,7,3,17423,1,8,2,2,3,1,0,0,39,38,0
299,21,3,9371,1,8,1,11,1,1,0,0,76,38,0
300,31,3,7464,4,12,0,0,0,1,94,0,39,38,1
301,4,3,8035,4,9,2,7,1,0,0,0,24,38,0
302,14,3,14230,1,8,0,13,0,1,0,0,44,38,1
303,38,3,15581,1,8,0,11,0,1,68,0,39,38,1
304,7,3,18337,4,9,0,0,5,0,0,0,39,24,0
305,26,3,9751,1,8,1,0,1,0,0,0,39,38,0
306,9,3,12082,4,11,2,12,1,1,0,0,44,38,0
307,29,3,2918,4,11,2,9,1,0,0,0,32,38,0
308,18,3,12069,4,11,0,0,0,1,0,0,39,38,1
309,24,4,777,4,9,0,4,0,1,0,0,53,38,1
310,9,3,1961,4,12,2,11,1,1,0,0,39,38,0
311,17,3,7207,2,13,0,3,0,1,91,0,34,35,1
312,2,8,21627,4,9,2,9,3,0,0,0,24,38,0
313,19,5,13273,4,12,1,9,1,0,0,0,39,38,1
314,5,3,12705,4,9,2,11,3,1,0,0,14,38,0
315,7,3,11855,4,9,2,6,1,1,0,0,39,38,0
316,60,5,6906,4,9,0,11,0,1,0,0,39,38,0
317,5,3,20595,3,2,0,6,2,0,0,0,39,25,0
318,12,3,20884,4,9,2,12,1,0,0,0,39,38,0
319,45,3,8498,1,8,1,7,1,0,0,0,23,38,0
320,22,5,9854,1,8,0,3,0,1,0,0,39,38,0
321,26,3,1537,4,9,0,2,0,1,0,17,49,38,0
322,18,3,11180,1,8,1,13,1,1,0,0,44,38,0
323,12,3,12769,3,6,2,3,1,0,0,0,39,38,0
324,59,5,9855,2,13,0,2,0,1,0,0,9,38,0
325,46,5,2713,1,8,0,4,0,1,0,0,44,38,0
326,6,8,13784,4,10,2,9,3,0,0,0,14,38,0
327,26,3,11377,4,9,0,9,5,0,0,46,49,38,1
328,41,5,18890,1,8,0,5,0,1,0,0,39,38,0
329,49,3,6185,1,8,2,13,1,1,22,0,54,38,0
330,24,3,13365,4,9,2,2,1,1,0,0,44,38,0
331,9,3,14690,4,12,2,0,1,1,0,0,39,38,0
332,30,3,10383,4,10,2,7,1,1,0,0,39,38,0
333,38,1,3741,3,5,0,0,0,1,0,0,39,38,0
334,36,3,15805,1,8,0,13,0,1,0,0,39,38,0
335,0,3,17132,3,2,2,7,2,1,0,0,47,25,0
336,13,3,3464,1,8,2,2,2,1,0,0,39,38,0
337,32,3,2405,2,13,2,9,1,1,0,0,59,38,0
338,2,3,4208,1,8,2,11,4,1,0,0,29,13,0
339,28,3,16701,1,8,0,7,0,1,0,0,39,38,0
340,9,3,3500,4,11,2,11,1,1,0,0,39,38,0
341,21,3,18119,4,10,0,2,0,1,91,0,39,38,1
342,19,6,5534,1,8,0,10,0,1,91,0,39,38,1
343,16,3,3026,1,8,2,4,1,1,0,0,19,38,0
344,5,6,18016,4,9,2,10,3,0,0,0,39,38,0
345,26,5,15768,4,12,2,11,1,1,0,0,41,38,0
346,50,8,850,3,6,0,9,0,1,0,0,7,38,0
347,13,8,7887,4,10,1,9,4,0,0,0,39,38,0
348,39,3,3951,4,11,0,7,1,1,0,0,24,19,0
349,14,3,8229,4,12,2,9,3,1,0,0,24,38,0
350,16,3,5411,4,12,0,3,0,1,0,0,39,38,1
351,9,3,11891,1,8,0,7,0,1,0,0,39,38,0
352,16,3,4816,4,12,0,3,0,1,0,0,39,38,1
353,29,1,19116,3,6,0,13,0,1,0,0,29,38,0
354,42,8,20153,4,12,0,9,0,1,0,0,39,38,1
355,21,0,3527,1,8,0,0,0,1,0,0,39,38,1
356,48,3,8634,3,6,1,7,4,1,0,0,39,38,0
357,23,3,3585,4,10,0,12,0,1,0,0,39,38,1
358,25,3,4857,1,8,0,0,5,0,0,0,34,38,0
359,9,5,5312,3,4,0,2,0,1,0,0,39,31,0
360,19,3,19652,3,5,0,7,5,0,0,0,23,38,0
361,45,3,17095,2,13,0,9,0,1,0,0,39,38,1
362,26,3,10567,4,12,0,13,0,1,0,0,44,38,0
363,26,3,9890,4,12,1,3,1,1,0,20,44,38,1
364,5,3,20757,1,8,0,11,1,1,0,0,54,38,0
365,11,3,3372,1,8,0,2,0,1,0,0,39,38,0
366,39,5,10843,4,9,0,11,0,1,0,0,44,38,0
367,5,3,19981,4,11,2,11,1,0,0,0,14,38,0
368,40,3,13839,4,12,1,3,1,0,0,0,44,38,1
369,22,3,21247,1,8,1,11,4,0,0,0,39,38,0
370,9,0,11162,4,9,2,0,4,0,0,0,14,38,0
371,0,3,3253,3,6,2,7,3,1,0,0,9,38,0
372,23,6,10963,4,10,0,6,0,1,0,0,37,38,1
373,28,3,16493,1,8,0,6,0,1,0,0,39,38,0
374,27,3,8546,1,8,2,2,1,1,0,0,39,38,0
375,3,1,19728,4,9,2,0,3,0,0,0,9,38,0
376,16,3,16974,1,8,0,2,5,0,0,0,39,38,0
377,6,3,821,4,9,2,11,1,1,0,0,39,38,0
378,29,5,2809,2,13,1,3,1,1,0,0,29,38,0
379,21,3,9712,1,8,0,11,0,1,0,0,49,38,0
380,37,3,9856,1,8,1,13,1,1,0,0,39,38,0
381,29,3,14034,3,2,1,2,1,0,0,72,44,38,0
382,8,3,19566,4,9,0,2,0,1,0,0,39,38,0
383,29,3,4582,4,9,1,11,1,0,0,0,39,38,0
384,19,1,5333,4,9,0,13,5,0,0,0,39,38,0
385,6,3,20551,1,8,2,7,1,0,0,0,24,38,0
386,12,3,6613,1,8,1,6,1,1,0,0,39,38,0
387,27,3,8681,4,9,0,0,5,0,0,76,5,38,1
388,2,3,148,4,9,2,0,3,0,0,0,15,38,0
389,2,3,15193,1,8,2,7,2,0,0,0,39,38,0
390,18,3,14405,1,8,0,7,5,0,0,0,39,38,1
391,10,3,18268,4,12,2,2,1,1,0,0,49,38,0
392,29,5,17415,4,11,1,2,1,1,0,0,39,38,0
393,17,6,3716,4,12,0,3,0,1,94,0,44,38,1
394,17,3,12315,1,8,2,7,1,0,0,0,34,38,0
395,27,3,5176,4,9,0,12,0,1,0,0,39,38,0
396,28,3,3642,4,9,1,5,4,0,0,0,39,38,0
397,3,8,6796,1,8,2,9,2,0,0,0,34,38,0
398,8,3,3108,4,12,0,3,0,1,0,0,54,38,1
399,35,4,6472,4,12,0,3,0,1,0,0,49,38,1
400,3,3,20813,4,9,2,5,3,1,0,0,39,38,0
401,11,3,4575,4,9,2,7,1,0,0,0,39,38,0
402,33,6,17838,4,12,0,10,0,1,0,0,39,38,1
403,17,3,14901,4,10,1,12,1,0,0,0,63,38,0
404,11,3,9080,3,3,0,5,0,1,0,62,39,32,0
405,24,3,21064,2,13,0,3,0,1,0,50,64,38,1
406,11,3,4707,1,8,0,0,0,1,0,0,39,38,0
407,29,5,18773,1,8,0,2,0,1,0,0,24,38,0
408,11,8,5826,4,9,0,9,5,0,0,46,39,38,1
409,15,3,20018,4,9,0,3,0,1,0,0,49,38,0
410,24,1,1181,4,9,1,7,1,0,0,0,23,38,0
411,7,3,15771,1,8,2,5,4,0,0,0,39,38,0
412,16,3,5457,4,9,1,3,4,0,0,0,39,38,0
413,29,3,11454,0,15,0,3,0,1,108,0,59,38,1
414,14,6,21636,4,9,0,6,0,1,0,0,39,38,0
415,18,3,3378,3,7,1,2,1,1,0,0,49,38,1
416,35,3,11726,3,1,0,6,0,1,0,0,39,25,0
417,13,3,20920,3,6,2,7,3,0,0,0,18,38,0
418,17,1,15880,3,6,1,6,1,1,0,0,39,38,0
419,17,6,15677,1,8,1,13,4,0,0,0,39,38,0
420,3,3,2052,4,9,0,11,0,1,0,0,29,38,0
421,0,3,9942,3,6,2,5,3,1,26,0,17,38,0
422,15,6,3360,4,12,0,3,5,0,0,0,39,38,1
423,12,3,11457,1,8,1,4,1,1,0,0,39,38,0
424,16,3,14957,3,5,2,2,4,0,0,0,34,38,0
425,8,3,6553,1,8,0,13,0,1,0,0,59,38,0
426,19,0,16414,2,13,2,9,1,1,0,15,39,38,0
427,6,3,13186,1,8,2,5,1,1,0,0,69,5,0
428,46,4,14544,1,8,0,3,0,1,0,0,39,38,1
429,30,1,17812,2,13,0,9,0,1,0,0,39,38,0
430,63,8,4504,1,8,1,9,1,1,0,0,23,38,0
431,0,8,12989,3,6,2,9,3,1,0,0,39,38,0
432,23,5,13129,4,12,0,9,1,0,25,0,39,38,0
433,13,3,364,4,11,0,7,5,0,0,0,24,38,1
434,10,3,5239,4,9,2,2,3,1,0,51,39,29,0
435,16,3,13510,2,13,0,9,0,1,0,0,49,38,1
436,17,1,17713,1,8,2,4,1,1,3,0,59,38,0
437,17,1,5303,4,9,2,10,1,0,0,0,39,38,0
438,6,3,2831,4,9,0,0,0,1,0,0,39,38,0
439,25,1,19402,4,9,0,0,5,0,0,0,39,38,0
440,12,3,20005,4,12,2,9,1,1,0,0,39,38,0
441,28,3,1325,1,8,1,0,1,0,0,0,27,38,0
442,7,0,11760,1,8,2,1,3,1,0,0,39,38,0
443,27,3,5267,4,9,0,9,0,1,0,0,39,38,1
444,10,3,20699,3,4,2,2,2,1,0,0,39,25,0
445,3,3,18179,4,9,2,11,1,1,0,0,34,38,0
446,27,3,17916,1,8,1,3,4,0,0,0,39,38,0
447,34,3,1866,1,8,0,2,0,1,0,0,39,38,0
